LOTE;UNIDAD;TIPO;ANHO;TRACC;COMB;KILOMETRAJE;ADJUDIC
21;LEASING;CAMIONETA;2018;4x4;D;28872;9400000
22;LEASING;CAMIONETA;2018;4x4;D;48297;8400000
23;LEASING;CAMIONETA;2018;4x4;D;50554;7700000
24;LEASING;CAMIONETA;2018;4x4;D;100901;8000000
25;LEASING;CAMIONETA;2018;4x4;D;81143;9400000
26;LEASING;CAMIONETA;2018;4x4;D;132303;9400000
27;LEASING;CAMIONETA;2018;4x4;D;81756;9400000
28;BFE;CAMIONETA;2017;4x4;D;132485;9600000
29;LEASING;CAMIONETA;2017;4x4;D;141619;9300000
30;LEASING;CAMIONETA;2018;4x4;D;84694;8600000
31;LEASING;CAMIONETA;2018;4x4;D;85958;8200000
32;LEASING;CAMIONETA;2018;4x4;D;114359;8200000
33;LEASING;CAMIONETA;2018;4x4;D;50645;8600000
34;LEASING;CAMIONETA;2018;4x2;D;58192;8200000
35;LEASING;CAMIONETA;2018;4x2;D;63836;8100000
36;LEASING;CAMIONETA;2018;4x2;D;83202;8100000
37;LEASING;CAMIONETA;2018;4x2;D;113492;7500000
38;LEASING;CAMIONETA;2018;4x2;D;71792;6700000
39;LEASING;CAMIONETA;2018;4x2;D;76908;6700000
40;BFE;CAMIONETA;2017;4x4;D;153829;8900000
41;LEASING;CAMIONETA;2017;4x4;D;33386;8300000
42;LEASING;CAMIONETA;2017;4x4;D;98120;8100000
43;LEASING;CAMIONETA;2017;4x4;D;41732;8500000
44;LEASING;CAMIONETA;2017;4x4;D;80316;8000000
45;LEASING;CAMIONETA;2017;4x4;D;96069;8000000
46;LEASING;CAMIONETA;2017;4x4;D;112781;8000000
47;LEASING;CAMIONETA;2017;4x4;D;115773;8400000
48;LEASING;CAMIONETA;2017;4x2;D;79734;7900000
49;LEASING;CAMIONETA;2018;4x4;D;180838;6800000
50;LEASING;CAMIONETA;2016;4x4;D;64721;7300000
51;LEASING;CAMIONETA;2016;4x4;D;80821;7200000
52;LEASING;CAMIONETA;2016;4x4;D;119461;7000000
53;LEASING;CAMIONETA;2017;4x4;D;176329;7400000
54;LEASING;CAMIONETA;2017;4x4;D;183540;7400000
55;LEASING;CAMIONETA;2016;4x4;D;38879;7700000
56;LEASING;CAMIONETA;2016;4x4;D;94194;7100000
57;LEASING;CAMIONETA;2016;4x4;D;59735;6900000
58;LEASING;CAMIONETA;2016;4x4;D;109099;6900000
59;LEASING;CAMIONETA;2016;4x4;D;64689;7100000
60;LEASING;CAMIONETA;2016;4x4;D;96920;6800000
61;LEASING;CAMIONETA;2016;4x2;D;88751;6600000
62;LEASING;CAMIONETA;2016;4x2;D;136412;6300000
63;BFE;CAMIONETA;2016;4x2;B;130921;7700000
64;BFE;CAMIONETA;2016;4x2;B;138339;6800000
65;LEASING;CAMIONETA;2017;4x4;D;105722;6700000
66;LEASING;CAMIONETA;2017;4x4;D;296263;6100000
67;BFE;CAMIONETA;2015;4x4;D;124597;6400000
68;LEASING;CAMIONETA;2015;4x2;D;84749;6000000
69;LEASING;CAMIONETA;2015;4x2;D;66974;6000000
70;BFE;CAMIONETA;2014;4x4;B;166400;3500000
71;LEASING;CAMIONETA;2015;4x2;D;115651;5000000
72;LEASING;CAMIONETA;2015;4x4;D;200618;5300000
73;BFE;CAMIONETA;2013;4x2;B;102418;4300000
74;BFE;CAMIONETA;2007;4x2;B;164769;2900000
75;LEASING;FURGON;2017;4x2;D;221805;6600000
76;LEASING;FURGON;2016;4x2;D;26883;6200000
77;LEASING;FURGON;2017;4x2;D;75405;5900000
78;LEASING;FURGON;2017;4x2;D;69149;5900000
79;LEASING;FURGON;2017;4x2;D;95679;5900000
80;LEASING;FURGON;2016;4x2;D;62918;5700000
81;LEASING;FURGON;2016;4x2;D;69148;5400000
82;LEASING;FURGON;2017;4x2;D;153577;5900000
83;LEASING;FURGON;2017;4x2;D;102206;5900000
84;LEASING;FURGON;2015;4x2;D;78011;4500000
85;LEASING;FURGON;2015;4x2;D;98165;4400000
86;LEASING;FURGON;2014;4x2;D;54098;4500000
87;LEASING;STATION WAGON;2019;4x2;D;70180;7900000
88;LEASING;HATCHBACK;2015;4x2;B;44506;8500000
89;LEASING;HATCHBACK;2018;4x2;B;75917;7500000
90;LEASING;HATCHBACK;2018;4x2;B;68862;7500000
91;PARTICULARES;SEDAN;2019;4x2;B;33914;6000000
92;LEASING;STATION WAGON;2017;4x4;B;95679;5200000
93;PARTICULARES;HATCHBACK;2019;4x2;B;16100;5200000
94;LEASING;HATCHBACK;2019;4x2;B;73905;5900000
95;BFE;HATCHBACK;2018;4x2;B;35357;5500000
96;LEASING;SEDAN;2018;4x2;B;71798;5600000
97;PARTICULARES;STATION WAGON;2018;4x2;B;5473;5600000
98;PARTICULARES;HATCHBACK;2017;4x2;B;43020;4800000
99;BFE;STATION WAGON;2018;4x2;B;33565;5500000
100;PARTICULARES;SEDAN;2018;4x2;B;37487;4300000
101;PARTICULARES;SEDAN;2017;4x2;B;36665;5300000
102;PARTICULARES;HATCHBACK;2018;4x2;B;50500;4600000
103;LEASING;SEDAN;2018;4x2;B;70037;4600000
104;LEASING;SEDAN;2018;4x2;B;70425;4600000
105;LEASING;SEDAN;2019;4x2;B;65570;5400000
106;LEASING;SEDAN;2019;4x2;B;75218;5400000
107;BFE;HATCHBACK;2019;4x2;B;36085;5100000
108;PARTICULARES;SEDAN;2017;4x2;B;72905;4700000
109;PARTICULARES;HATCHBACK;2017;4x2;B;76274;4000000
110;PARTICULARES;SEDAN;2016;4x2;B;105352;4200000
111;PARTICULARES;SEDAN;2014;4x2;B;69715;4400000
1;BFE;STATION WAGON;2020;4x2;D;23581;9100000
2;PARTICULARES;STATION WAGON;2017;4x4;B;46154;9000000
3;PARTICULARES;STATION WAGON;2015;4x4;B;42471;9300000
4;PARTICULARES;HATCHBACK;2016;4x2;B;36767;8300000
5;PARTICULARES;STATION WAGON;2017;4x2;B;86488;8100000
6;PARTICULARES;STATION WAGON;2018;4x2;B;41609;7800000
7;PARTICULARES;STATION WAGON;2016;4x2;B;81352;6300000
8;LEASING;CAMIONETA;2017;4x4;D;50621;9100000
9;LEASING;CAMIONETA;2017;4x4;D;113791;9500000
10;LEASING;CAMIONETA;2017;4x4;D;87232;9400000
11;LEASING;CAMIONETA;2018;4x4;D;19082;9200000
12;LEASING;CAMIONETA;2018;4x4;D;22488;9200000
13;LEASING;CAMIONETA;2018;4x4;D;24233;8900000
14;LEASING;CAMIONETA;2018;4x4;D;24999;9200000
15;LEASING;CAMIONETA;2018;4x4;D;62871;9600000
16;LEASING;CAMIONETA;2018;4x4;D;90902;9200000
17;LEASING;CAMIONETA;2018;4x4;D;93680;9200000
18;LEASING;CAMIONETA;2018;4x4;D;101629;8700000
19;LEASING;CAMIONETA;2018;4x2;D;64583;7800000
20;LEASING;CAMIONETA;2018;4x2;D;82576;7700000
21;LEASING;CAMIONETA;2017;4x4;D;35509;6800000
22;LEASING;CAMIONETA;2017;4x4;D;54398;8200000
23;LEASING;CAMIONETA;2017;4x4;D;81784;8200000
24;LEASING;CAMIONETA;2017;4x4;D;111819;7800000
25;LEASING;CAMIONETA;2017;4x4;D;115020;7500000
26;LEASING;CAMIONETA;2017;4x4;D;115325;7500000
27;LEASING;CAMIONETA;2017;4x4;D;138815;7400000
28;LEASING;CAMIONETA;2017;4x4;D;144811;7400000
29;LEASING;CAMIONETA;2017;4x4;D;159811;7400000
30;LEASING;CAMIONETA;2017;4x4;D;160530;7000000
31;LEASING;CAMIONETA;2016;4x4;D;94821;7100000
32;LEASING;CAMIONETA;2016;4x4;D;83231;6300000
33;LEASING;CAMIONETA;2016;4x4;D;109649;6100000
34;LEASING;CAMIONETA;2016;4x4;D;129997;5900000
35;LEASING;CAMIONETA;2017;4x4;D;139677;7700000
36;LEASING;CAMIONETA;2016;4x4;D;31552;7800000
37;LEASING;CAMIONETA;2016;4x4;D;35958;6200000
38;LEASING;CAMIONETA;2016;4x4;D;110888;8600000
39;LEASING;CAMIONETA;2016;4x4;D;74665;6500000
40;LEASING;CAMIONETA;2016;4x4;D;75858;7800000
41;LEASING;CAMIONETA;2016;4x4;D;86692;6300000
42;LEASING;CAMIONETA;2016;4x4;D;110427;7800000
43;LEASING;CAMIONETA;2016;4x4;D;123387;6200000
44;LEASING;CAMIONETA;2016;4x4;D;202992;7000000
45;LEASING;CAMIONETA;2015;4x4;B;116202;9100000
46;LEASING;CAMIONETA;2017;4x2;D;76768;7500000
47;LEASING;CAMIONETA;2017;4x2;D;139308;7500000
48;LEASING;CAMIONETA;2017;4x2;D;113791;6500000
49;LEASING;CAMIONETA;2017;4x2;D;137175;6600000
50;LEASING;CAMIONETA;2017;4x2;D;140352;6500000
51;LEASING;CAMIONETA;2017;4x2;D;215310;6000000
52;LEASING;CAMIONETA;2016;4x2;D;89364;7800000
53;LEASING;CAMIONETA;2016;4x2;D;95507;7700000
54;LEASING;CAMIONETA;2015;4x4;D;103196;6100000
55;LEASING;CAMIONETA;2015;4x4;D;127087;6500000
56;LEASING;CAMIONETA;2015;4x4;D;152988;6600000
57;LEASING;CAMIONETA;2015;4x4;D;131442;5700000
58;LEASING;CAMIONETA;2015;4x4;D;49387;6400000
59;LEASING;CAMIONETA;2014;4x4;D;150738;5300000
60;LEASING;CAMIONETA;2016;4x2;D;151002;6100000
61;LEASING;CAMIONETA;2016;4x2;D;191931;6200000
62;LEASING;CAMIONETA;2015;4x2;D;49257;5200000
63;LEASING;CAMIONETA;2015;4x2;D;125852;5900000
64;LEASING;CAMIONETA;2015;4x2;D;51190;5900000
65;LEASING;CAMIONETA;2015;4x2;D;79503;5900000
66;LEASING;CAMIONETA;2015;4x2;D;96880;5000000
67;LEASING;CAMIONETA;2013;4x4;D;119130;5600000
68;LEASING;CAMIONETA;2013;4x4;D;123266;6900000
69;LEASING;CAMIONETA;2015;4x2;D;195180;5700000
70;LEASING;CAMIONETA;2015;4x2;D;157305;5900000
71;LEASING;CAMIONETA;2015;4x2;D;197057;5800000
72;LEASING;CAMIONETA;2015;4x2;D;109775;4800000
73;LEASING;CAMIONETA;2015;4x2;D;122732;7000000
74;LEASING;FURGON;2016;4x2;B;30173;5000000
75;LEASING;FURGON;2016;4x2;B;30910;5000000
76;LEASING;FURGON;2016;4x2;B;43132;4800000
77;LEASING;FURGON;2016;4x2;B;48991;5000000
78;LEASING;MINIBUS;2015;4x2;D;259596;7400000
79;LEASING;FURGON;2015;4x2;D;64639;9700000
80;LEASING;FURGON;2015;4x2;D;173192;9000000
81;LEASING;FURGON;2015;4x2;D;55158;4000000
82;LEASING;FURGON;2016;4x2;D;63110;4900000
83;LEASING;FURGON;2016;4x2;D;64840;5100000
84;PARTICULARES;STATION WAGON;2018;4x2;B;44678;5900000
85;PARTICULARES;SEDAN;2018;4x2;B;45678;6000000
86;PARTICULARES;STATION WAGON;2016;4x4;B;89277;6000000
87;PARTICULARES;HATCHBACK;2017;4x2;B;22514;4100000
